num_veh,id_usa,id_code_insee,latitude,longitude,descr_cat_veh,descr_agglo,descr_athmo,descr_lum,descr_etat_surf,description_intersection,an_nais,place,descr_dispo_secu,descr_grav,descr_motif_traj,descr_type_col,jour,heure
1,743965,44118,47.4833,-1.23333,0,0,0,0,0,0,1969,1,0,1,0,0,1,8
1,745034,73236,45.6,5.63333,1,0,1,1,1,0,1959,1,0,1,0,0,1,11
1,745035,73236,45.6,5.63333,2,0,1,1,1,0,1960,1,0,1,0,0,1,17
1,746121,66180,42.7667,2.98333,2,0,2,2,2,0,1957,1,0,1,1,0,1,20
2,746149,16373,45.9667,0.066667,2,0,3,1,3,1,1951,1,0,1,0,0,2,17
1,746250,29139,48.2833,-4.05,1,0,3,1,0,0,1969,1,0,1,0,0,1,9
1,746253,29257,48.5659,3.39723,2,0,3,1,3,2,1978,1,0,1,2,0,1,13
2,746329,29249,48.1667,-3.78333,2,0,4,1,0,0,1949,1,0,1,0,0,1,14
1,746372,40240,43.75,-0.35,2,0,1,2,1,0,1967,1,0,1,0,0,1,18
2,746382,40188,43.6167,-0.633333,2,0,4,2,0,0,1971,1,0,1,2,0,1,22
1,746383,40188,43.6167,-0.633333,2,0,4,2,0,0,1950,1,0,1,1,0,1,22
1,746403,27641,49.0833,0.95,1,0,1,0,0,0,1973,1,0,1,0,0,1,8
1,746405,27445,49.2667,1.38333,3,0,1,1,1,0,1978,1,0,1,0,0,1,16
2,746407,27306,48.9833,1.19167,2,0,4,2,3,0,1977,1,0,1,2,0,1,20
2,746417,27398,49.1,0.616667,2,0,3,1,3,0,1981,1,0,1,1,0,1,12
2,746433,27332,49.2,1.25,2,0,3,2,3,3,1972,1,0,1,3,0,1,18
1,746448,12215,44.4833,2.4,1,0,5,1,0,0,1949,1,0,1,2,0,1,14
2,746626,45306,48.0167,2.9,2,0,4,1,0,0,1962,1,0,1,2,0,1,8
2,746713,48119,44.5167,3.91667,2,0,0,0,0,0,1978,1,0,1,1,0,1,7
1,748164,60549,49.5833,2.08333,3,0,1,1,0,0,1970,1,0,1,0,0,1,16
2,748188,60264,49.3833,2.08333,4,0,1,1,0,0,1971,1,0,1,0,0,1,9
2,748324,30195,44.1167,3.83333,2,0,3,2,3,0,1987,1,0,1,1,0,1,20
1,748462,68367,48.0625,7.48001,2,0,4,1,0,0,1960,1,0,1,1,0,1,14
1,748469,68292,47.8833,7.01667,2,0,3,1,3,0,1985,1,0,1,1,0,1,17
2,748478,68268,47.6333,7.1,2,0,3,1,3,0,1966,1,0,1,1,0,1,14
2,748718,35218,47.9333,-1.6,2,0,0,0,0,0,1982,1,0,1,2,0,1,9
2,748731,35219,47.8167,-1.95,2,0,0,1,2,0,1930,1,0,1,4,0,1,10
1,748734,35219,47.8167,-1.95,1,0,0,1,2,0,1982,1,0,1,1,0,1,10
2,748764,35294,47.7,-2.0,5,0,6,1,2,0,1993,1,1,1,1,0,1,11
1,748763,35294,47.7,-2.0,0,0,6,1,2,0,1976,1,0,1,0,0,1,11
2,748925,49377,47.55,-0.416667,2,0,1,1,1,0,1976,1,0,1,1,0,1,15
1,748957,49132,47.65,-0.433333,2,0,5,1,2,0,1974,1,0,1,4,0,1,10
2,749084,49244,47.35,-0.85,2,0,3,2,3,0,1986,1,0,1,1,0,2,21
1,749101,49215,47.1333,-0.15,2,0,3,1,3,0,1974,1,0,1,1,0,2,10
3,749185,49328,47.2667,-0.083333,2,0,3,2,3,0,1961,1,0,1,1,0,2,19
2,750611,30228,43.9353,4.32167,2,0,7,1,3,0,1980,1,0,1,2,0,1,17
1,750742,30268,44.2333,4.13333,2,0,5,1,2,0,1986,1,0,1,3,0,1,8
2,750748,30138,43.8,4.25,2,0,3,0,3,2,1938,1,0,1,1,0,1,7
4,750966,73296,45.5,6.91667,0,0,1,2,1,0,1969,1,0,1,0,0,1,5
2,751419,17441,45.6333,-0.65,2,0,3,2,3,0,1956,1,0,1,1,0,1,23
1,751535,12160,44.2,3.18333,0,0,7,1,2,0,1948,1,0,1,0,0,2,11
1,751586,86297,46.5833,0.266667,2,0,3,2,3,0,1974,1,0,1,1,0,1,21
