latitude,longitude,descr_cat_veh,descr_lum,description_intersection,an_nais,descr_grav,descr_type_col
47.4833,-1.23333,0,0,0,1969,0,0
45.6,5.63333,1,1,0,1959,0,0
45.6,5.63333,2,1,0,1960,0,0
42.7667,2.98333,2,2,0,1957,0,0
45.9667,0.066667,2,1,1,1951,0,0
48.2833,-4.05,1,1,0,1969,0,0
48.5659,3.39723,2,1,2,1978,0,0
48.1667,-3.78333,2,1,0,1949,0,0
43.75,-0.35,2,2,0,1967,0,0
43.6167,-0.633333,2,2,0,1971,0,0
43.6167,-0.633333,2,2,0,1950,0,0
49.0833,0.95,1,0,0,1973,0,0
49.2667,1.38333,3,1,0,1978,0,0
48.9833,1.19167,2,2,0,1977,0,0
49.1,0.616667,2,1,0,1981,0,0
49.2,1.25,2,2,3,1972,0,0
44.4833,2.4,1,1,0,1949,0,0
48.0167,2.9,2,1,0,1962,0,0
44.5167,3.91667,2,0,0,1978,0,0
49.5833,2.08333,3,1,0,1970,0,0
49.3833,2.08333,4,1,0,1971,0,0
44.1167,3.83333,2,2,0,1987,0,0
48.0625,7.48001,2,1,0,1960,0,0
47.8833,7.01667,2,1,0,1985,0,0
47.6333,7.1,2,1,0,1966,0,0
47.9333,-1.6,2,0,0,1982,0,0
47.8167,-1.95,2,1,0,1930,0,0
47.8167,-1.95,1,1,0,1982,0,0
47.7,-2.0,5,1,0,1993,0,0
47.7,-2.0,0,1,0,1976,0,0
47.55,-0.416667,2,1,0,1976,0,0
47.65,-0.433333,2,1,0,1974,0,0
47.35,-0.85,2,2,0,1986,0,0
47.1333,-0.15,2,1,0,1974,0,0
47.2667,-0.083333,2,2,0,1961,0,0
43.9353,4.32167,2,1,0,1980,0,0
44.2333,4.13333,2,1,0,1986,0,0
43.8,4.25,2,0,2,1938,0,0
45.5,6.91667,0,2,0,1969,0,0
45.6333,-0.65,2,2,0,1956,0,0
44.2,3.18333,0,1,0,1948,0,0
46.5833,0.266667,2,2,0,1974,0,0
47.2833,1.33333,2,1,4,1933,0,0
48.5,6.51667,2,0,0,1973,0,0
48.5,6.51667,1,0,0,1953,0,0
48.6833,5.85,2,1,3,1923,0,0
48.6833,5.85,2,1,3,1996,0,0
48.65,6.18333,2,0,0,1979,0,0
45.1833,4.18333,1,0,0,1971,0,0
49.1667,4.01667,2,2,0,1983,0,0
48.7667,0.816667,2,1,0,1972,0,0
46.1833,-1.06667,2,1,0,1945,0,0
46.15,6.41667,2,2,0,1976,0,0
46.15,6.41667,2,2,0,1959,0,0
45.15,3.53333,4,1,0,1985,0,0
45.05,4.03333,2,1,0,1982,0,0
45.05,4.03333,2,1,0,1938,0,0
46.6167,0.433333,2,2,0,1987,0,0
45.1333,0.85,6,1,0,1969,0,0
45.25,1.15,2,1,0,1987,0,0
48.0589,5.05695,2,2,0,1980,0,0
46.3333,6.68333,2,2,0,1966,0,0
46.0,6.0,2,1,0,1990,0,0
